Date,Open,High,Low,Close,Adj Close,Volume
2019-01-08,2010.000000,2023.000000,1992.050049,2015.300049,2010.963257,37927
2019-01-09,2021.000000,2125.000000,2001.000000,2096.199951,2091.689209,14257
2019-01-10,2076.100098,2097.000000,2070.100098,2077.600098,2073.129150,3082
2019-01-11,2060.000000,2094.000000,2046.050049,2061.949951,2057.512939,2980
2019-01-14,2062.000000,2069.750000,2040.900024,2051.199951,2046.786011,2633
2019-01-15,2076.000000,2188.699951,2069.000000,2166.899902,2162.236816,44591
2019-01-16,2168.500000,2215.000000,2166.750000,2202.750000,2198.010010,19000
2019-01-17,2210.000000,2210.449951,2166.100098,2180.199951,2175.508545,6851
2019-01-18,2150.100098,2188.000000,2150.100098,2175.899902,2171.217773,2639
2019-01-21,2180.000000,2189.449951,2175.250000,2179.600098,2174.909912,3153
2019-01-22,2175.050049,2182.550049,2171.850098,2177.000000,2172.315186,3419
2019-01-23,2175.050049,2261.750000,2175.000000,2243.399902,2238.572266,22434
2019-01-24,2250.000000,2279.000000,2250.000000,2267.500000,2262.620605,6502
2019-01-25,2241.000000,2281.149902,2202.649902,2246.000000,2241.166992,5228
2019-01-28,2232.149902,2239.149902,2150.000000,2167.350098,2162.686035,7592
2019-01-29,2150.000000,2200.000000,2150.000000,2193.649902,2188.929443,2676
2019-01-30,2193.649902,2245.000000,2193.649902,2222.949951,2218.166504,2694
2019-01-31,2225.899902,2295.000000,2225.000000,2268.550049,2263.668457,18791
2019-02-01,2289.899902,2328.000000,2188.199951,2290.649902,2285.720703,29832
2019-02-04,2230.050049,2324.399902,2217.000000,2237.800049,2232.984375,7676
2019-02-05,2220.000000,2265.000000,2220.000000,2228.550049,2223.754395,3122
2019-02-06,2225.050049,2250.000000,2196.949951,2214.649902,2209.884033,2520
